theta_hid_log[2], theta_out_log[1]
0.930771, -0.504738, 1.64417
0.931446, -0.505084, 1.64519
0.932119, -0.505429, 1.64622
0.932789, -0.505772, 1.64724
0.933457, -0.506115, 1.64826
0.934123, -0.506458, 1.64928
0.934786, -0.506799, 1.65029
0.935447, -0.507139, 1.6513
0.936106, -0.507478, 1.65231
0.936762, -0.507817, 1.65332
0.937416, -0.508154, 1.65432
0.938068, -0.508491, 1.65532
0.938718, -0.508827, 1.65631
0.939365, -0.509161, 1.6573
0.94001, -0.509495, 1.65829
0.940653, -0.509829, 1.65928
0.941294, -0.510161, 1.66026
0.941933, -0.510492, 1.66124
0.942569, -0.510823, 1.66222
0.943203, -0.511152, 1.6632
0.943835, -0.511481, 1.66417
0.944465, -0.511809, 1.66514
0.945093, -0.512136, 1.6661
0.945719, -0.512462, 1.66707
0.946343, -0.512788, 1.66803
0.946964, -0.513112, 1.66899
0.947584, -0.513436, 1.66994
0.948201, -0.513759, 1.67089
0.948816, -0.514081, 1.67184
0.94943, -0.514402, 1.67279
0.950041, -0.514723, 1.67373
0.950651, -0.515042, 1.67468
0.951258, -0.515361, 1.67561
0.951863, -0.515679, 1.67655
0.952467, -0.515996, 1.67748
0.953068, -0.516313, 1.67842
0.953668, -0.516628, 1.67934
0.954265, -0.516943, 1.68027
0.954861, -0.517257, 1.68119
0.955455, -0.517571, 1.68211
0.956047, -0.517883, 1.68303
0.956636, -0.518195, 1.68395
0.957224, -0.518506, 1.68486
0.957811, -0.518816, 1.68577
0.958395, -0.519125, 1.68668
0.958977, -0.519434, 1.68758
0.959558, -0.519742, 1.68848
0.960137, -0.520049, 1.68938
0.960714, -0.520356, 1.69028
0.961289, -0.520661, 1.69118
0.961862, -0.520966, 1.69207
0.962434, -0.521271, 1.69296
0.963004, -0.521574, 1.69385
0.963572, -0.521877, 1.69473
0.964138, -0.522179, 1.69562
0.964703, -0.52248, 1.6965
0.965265, -0.522781, 1.69738
0.965826, -0.523081, 1.69825
0.966386, -0.52338, 1.69913
0.966943, -0.523678, 1.7
0.967499, -0.523976, 1.70087
0.968054, -0.524273, 1.70173
0.968606, -0.52457, 1.7026
0.969157, -0.524865, 1.70346
0.969706, -0.52516, 1.70432
0.970254, -0.525454, 1.70518
0.9708, -0.525748, 1.70603
0.971344, -0.526041, 1.70689
0.971887, -0.526333, 1.70774
0.972428, -0.526625, 1.70859
0.972967, -0.526916, 1.70943
0.973505, -0.527206, 1.71028
0.974041, -0.527495, 1.71112
0.974576, -0.527784, 1.71196
0.975109, -0.528073, 1.7128
0.97564, -0.52836, 1.71363
0.97617, -0.528647, 1.71446
0.976699, -0.528933, 1.7153
0.977225, -0.529219, 1.71613
0.977751, -0.529504, 1.71695
0.978274, -0.529788, 1.71778
0.978797, -0.530072, 1.7186
0.979317, -0.530355, 1.71942
0.979837, -0.530637, 1.72024
0.980354, -0.530919, 1.72106
0.980871, -0.5312, 1.72187
0.981385, -0.531481, 1.72268
0.981899, -0.531761, 1.72349
0.98241, -0.53204, 1.7243
0.982921, -0.532319, 1.72511
0.98343, -0.532597, 1.72591
0.983937, -0.532874, 1.72672
0.984443, -0.533151, 1.72752
0.984948, -0.533427, 1.72832
0.985451, -0.533703, 1.72911
0.985953, -0.533978, 1.72991
0.986453, -0.534252, 1.7307
0.986952, -0.534526, 1.73149
0.987449, -0.534799, 1.73228
0.987946, -0.535072, 1.73307
0.98844, -0.535344, 1.73385
0.988934, -0.535615, 1.73463
0.989426, -0.535886, 1.73542
0.989917, -0.536156, 1.73619
0.990406, -0.536426, 1.73697
0.990894, -0.536695, 1.73775
0.991381, -0.536963, 1.73852
0.991866, -0.537231, 1.73929
0.99235, -0.537499, 1.74006
0.992833, -0.537766, 1.74083
0.993314, -0.538032, 1.7416
0.993794, -0.538298, 1.74236
0.994273, -0.538563, 1.74312
0.99475, -0.538827, 1.74389
0.995226, -0.539091, 1.74464
0.995701, -0.539355, 1.7454
0.996175, -0.539618, 1.74616
0.996647, -0.53988, 1.74691
0.997118, -0.540142, 1.74766
0.997588, -0.540403, 1.74841
0.998057, -0.540664, 1.74916
0.998524, -0.540924, 1.74991
0.99899, -0.541184, 1.75065
0.999455, -0.541443, 1.7514
0.999919, -0.541701, 1.75214
1.00038, -0.541959, 1.75288
1.00084, -0.542217, 1.75362
1.0013, -0.542474, 1.75435
1.00176, -0.54273, 1.75509
1.00222, -0.542986, 1.75582
1.00268, -0.543242, 1.75655
1.00313, -0.543496, 1.75728
1.00358, -0.543751, 1.75801
1.00404, -0.544005, 1.75874
1.00449, -0.544258, 1.75946
1.00494, -0.544511, 1.76019
1.00539, -0.544763, 1.76091
1.00584, -0.545015, 1.76163
1.00628, -0.545266, 1.76234
1.00673, -0.545517, 1.76306
1.00717, -0.545767, 1.76378
1.00762, -0.546017, 1.76449
1.00806, -0.546267, 1.7652
1.0085, -0.546515, 1.76591
1.00894, -0.546764, 1.76662
1.00938, -0.547012, 1.76733
1.00982, -0.547259, 1.76803
1.01026, -0.547506, 1.76874
1.01069, -0.547752, 1.76944
1.01113, -0.547998, 1.77014
1.01156, -0.548243, 1.77084
1.01199, -0.548488, 1.77154
1.01243, -0.548733, 1.77224
1.01286, -0.548977, 1.77293
1.01329, -0.54922, 1.77362
1.01371, -0.549463, 1.77432
1.01414, -0.549706, 1.77501
1.01457, -0.549948, 1.77569
1.01499, -0.55019, 1.77638
1.01542, -0.550431, 1.77707
1.01584, -0.550671, 1.77775
1.01626, -0.550912, 1.77844
1.01668, -0.551151, 1.77912
1.0171, -0.551391, 1.7798
1.01752, -0.55163, 1.78048
1.01794, -0.551868, 1.78115
1.01836, -0.552106, 1.78183
1.01877, -0.552343, 1.7825
1.01919, -0.552581, 1.78318
1.0196, -0.552817, 1.78385
1.02001, -0.553053, 1.78452
1.02043, -0.553289, 1.78519
1.02084, -0.553524, 1.78585
1.02125, -0.553759, 1.78652
1.02166, -0.553993, 1.78718
1.02206, -0.554227, 1.78785
1.02247, -0.554461, 1.78851
1.02288, -0.554694, 1.78917
1.02328, -0.554927, 1.78983
1.02278, -0.554248, 1.78802
1.02228, -0.553574, 1.78622
1.02178, -0.552905, 1.78443
1.02128, -0.55224, 1.78266
1.02079, -0.55158, 1.78089
1.0203, -0.550924, 1.77914
1.01981, -0.550273, 1.7774
1.01933, -0.549626, 1.77566
1.01885, -0.548983, 1.77394
1.01838, -0.548345, 1.77223
1.0179, -0.547711, 1.77053
1.01743, -0.54708, 1.76883
1.01697, -0.546454, 1.76715
1.0165, -0.545832, 1.76548
1.01604, -0.545214, 1.76382
1.01558, -0.5446, 1.76217
1.01513, -0.54399, 1.76053
1.01467, -0.543384, 1.75889
1.01422, -0.542782, 1.75727
1.01378, -0.542183, 1.75565
1.01333, -0.541588, 1.75405
1.01289, -0.540997, 1.75245
1.01245, -0.54041, 1.75087
1.01202, -0.539826, 1.74929
1.01158, -0.539246, 1.74772
1.01115, -0.538669, 1.74616
1.01072, -0.538096, 1.74461
1.0103, -0.537526, 1.74307
1.00987, -0.53696, 1.74153
1.00945, -0.536397, 1.74
1.00903, -0.535838, 1.73849
1.00862, -0.535281, 1.73698
1.0082, -0.534729, 1.73548
1.00779, -0.534179, 1.73398
1.00738, -0.533633, 1.7325
1.00698, -0.53309, 1.73102
1.00657, -0.53255, 1.72955
1.00617, -0.532013, 1.72809
1.00577, -0.531479, 1.72664
1.00537, -0.530949, 1.72519
1.00498, -0.530421, 1.72375
1.00459, -0.529897, 1.72232
1.0042, -0.529375, 1.72089
1.00381, -0.528857, 1.71948
1.00342, -0.528341, 1.71807
1.00304, -0.527828, 1.71667
1.00265, -0.527318, 1.71527
1.00227, -0.526811, 1.71388
1.0019, -0.526307, 1.7125
1.00152, -0.525805, 1.71113
1.00115, -0.525307, 1.70976
1.00077, -0.524811, 1.7084
1.0004, -0.524317, 1.70705
1.00004, -0.523827, 1.7057
0.999669, -0.523339, 1.70436
0.999305, -0.522854, 1.70303
0.998942, -0.522371, 1.7017
0.998582, -0.521891, 1.70038
0.998223, -0.521413, 1.69907
0.997867, -0.520938, 1.69776
0.997512, -0.520466, 1.69646
0.997159, -0.519996, 1.69516
0.996807, -0.519528, 1.69387
0.996458, -0.519063, 1.69259
0.99611, -0.5186, 1.69131
0.995764, -0.51814, 1.69004
0.99542, -0.517682, 1.68878
0.995078, -0.517226, 1.68752
0.994737, -0.516773, 1.68627
0.994398, -0.516322, 1.68502
0.99406, -0.515874, 1.68378
0.993724, -0.515427, 1.68254
0.99339, -0.514983, 1.68131
0.993058, -0.514541, 1.68009
0.992727, -0.514101, 1.67887
0.992398, -0.513664, 1.67766
0.99207, -0.513228, 1.67645
0.991744, -0.512795, 1.67525
0.99142, -0.512364, 1.67405
0.991097, -0.511935, 1.67286
0.990775, -0.511508, 1.67167
0.990455, -0.511084, 1.67049
0.990137, -0.510661, 1.66931
0.98982, -0.51024, 1.66814
0.989504, -0.509822, 1.66698
0.989191, -0.509405, 1.66582
0.988878, -0.50899, 1.66466
0.988567, -0.508578, 1.66351
0.988257, -0.508167, 1.66236
0.987949, -0.507758, 1.66122
0.987642, -0.507351, 1.66009
0.987337, -0.506946, 1.65896
0.987033, -0.506543, 1.65783
0.98673, -0.506142, 1.65671
0.986429, -0.505743, 1.65559
0.986129, -0.505345, 1.65448
0.985831, -0.504949, 1.65337
0.985534, -0.504556, 1.65227
0.985238, -0.504164, 1.65117
0.984943, -0.503773, 1.65008
0.98465, -0.503385, 1.64899
0.984358, -0.502998, 1.64791
0.984067, -0.502613, 1.64683
0.983778, -0.50223, 1.64575
0.983489, -0.501848, 1.64468
0.983202, -0.501469, 1.64361
0.982917, -0.50109, 1.64255
0.982632, -0.500714, 1.64149
0.982349, -0.500339, 1.64044
0.982067, -0.499966, 1.63939
0.981786, -0.499594, 1.63834
0.981507, -0.499224, 1.6373
0.981228, -0.498856, 1.63626
0.980951, -0.498489, 1.63523
0.980675, -0.498124, 1.6342
0.9804, -0.497761, 1.63318
0.980126, -0.497399, 1.63216
0.979853, -0.497038, 1.63114
0.979582, -0.496679, 1.63013
0.979311, -0.496322, 1.62912
0.979042, -0.495966, 1.62811
0.978774, -0.495612, 1.62711
0.978507, -0.495259, 1.62611
0.978241, -0.494908, 1.62512
0.977976, -0.494558, 1.62413
0.977712, -0.494209, 1.62314
0.977449, -0.493862, 1.62216
0.977187, -0.493517, 1.62118
0.976926, -0.493172, 1.6202
0.976667, -0.49283, 1.61923
0.976408, -0.492488, 1.61827
0.97615, -0.492148, 1.6173
0.975894, -0.49181, 1.61634
0.975638, -0.491473, 1.61538
0.975384, -0.491137, 1.61443
0.97513, -0.490802, 1.61348
0.974877, -0.490469, 1.61253
0.974626, -0.490137, 1.61159
0.974375, -0.489807, 1.61065
0.974126, -0.489478, 1.60971
0.973877, -0.48915, 1.60878
0.973629, -0.488823, 1.60785
0.973382, -0.488498, 1.60692
0.973136, -0.488174, 1.606
0.972891, -0.487852, 1.60508
0.972647, -0.48753, 1.60416
0.972404, -0.48721, 1.60325
0.972162, -0.486891, 1.60234
0.971921, -0.486573, 1.60143
0.971681, -0.486257, 1.60053
0.971441, -0.485941, 1.59963
0.971202, -0.485627, 1.59873
0.970965, -0.485314, 1.59784
0.970728, -0.485003, 1.59695
0.970492, -0.484692, 1.59606
0.970257, -0.484383, 1.59517
0.970023, -0.484075, 1.59429
0.969789, -0.483768, 1.59341
0.969557, -0.483462, 1.59254
0.969325, -0.483157, 1.59166
0.969094, -0.482854, 1.59079
0.968864, -0.482551, 1.58993
0.968635, -0.48225, 1.58906
0.968407, -0.48195, 1.5882
0.968179, -0.481651, 1.58734
0.967953, -0.481353, 1.58649
0.967727, -0.481056, 1.58563
0.967502, -0.48076, 1.58478
0.967277, -0.480465, 1.58394
0.967054, -0.480171, 1.58309
0.966831, -0.479879, 1.58225
0.966609, -0.479587, 1.58141
0.966388, -0.479297, 1.58058
0.966167, -0.479007, 1.57974
0.965948, -0.478719, 1.57891
0.965729, -0.478431, 1.57809
0.965511, -0.478145, 1.57726
0.965293, -0.47786, 1.57644
0.965077, -0.477575, 1.57562
0.964861, -0.477292, 1.5748
0.964645, -0.47701, 1.57399
0.964431, -0.476728, 1.57318
0.964217, -0.476448, 1.57237
0.964004, -0.476168, 1.57156
0.963792, -0.47589, 1.57076
0.96358, -0.475613, 1.56995
0.96337, -0.475336, 1.56915
0.963159, -0.47506, 1.56836
0.96295, -0.474786, 1.56756
0.962741, -0.474512, 1.56677
0.962533, -0.474239, 1.56598
0.962326, -0.473968, 1.5652
0.962119, -0.473697, 1.56441
0.961913, -0.473427, 1.56363
0.961708, -0.473158, 1.56285
0.961503, -0.47289, 1.56207
0.961299, -0.472622, 1.5613
0.961095, -0.472356, 1.56053
0.960893, -0.472091, 1.55976
0.960691, -0.471826, 1.55899
0.960489, -0.471562, 1.55822
0.960289, -0.471299, 1.55746
0.960089, -0.471038, 1.5567
0.959889, -0.470776, 1.55594
0.95969, -0.470516, 1.55518
0.959492, -0.470257, 1.55443
0.959294, -0.469998, 1.55368
0.959097, -0.469741, 1.55293
0.958901, -0.469484, 1.55218
0.958705, -0.469228, 1.55144
0.95851, -0.468973, 1.55069
0.958316, -0.468718, 1.54995
0.958122, -0.468465, 1.54921
0.957929, -0.468212, 1.54848
0.957736, -0.46796, 1.54774
0.957544, -0.467709, 1.54701
0.957352, -0.467459, 1.54628
0.957162, -0.467209, 1.54555
0.956971, -0.46696, 1.54483
0.956781, -0.466712, 1.5441
0.956592, -0.466465, 1.54338
0.956404, -0.466219, 1.54266
0.956216, -0.465973, 1.54194
0.956028, -0.465728, 1.54123
0.955841, -0.465484, 1.54052
0.955655, -0.465241, 1.5398
0.955469, -0.464999, 1.53909
0.955284, -0.464757, 1.53839
0.955099, -0.464516, 1.53768
0.954915, -0.464275, 1.53698
0.954732, -0.464036, 1.53628
0.954549, -0.463797, 1.53558
0.954366, -0.463559, 1.53488
0.954184, -0.463321, 1.53418
0.954003, -0.463085, 1.53349
0.953822, -0.462849, 1.5328
0.953642, -0.462614, 1.53211
0.953462, -0.462379, 1.53142
0.953283, -0.462145, 1.53073
0.953104, -0.461912, 1.53005
0.952926, -0.46168, 1.52937
0.952748, -0.461448, 1.52869
0.952571, -0.461217, 1.52801
0.952394, -0.460987, 1.52733
0.952218, -0.460757, 1.52666
0.952042, -0.460528, 1.52598
0.951867, -0.4603, 1.52531
0.951692, -0.460072, 1.52464
0.951518, -0.459845, 1.52397
0.951344, -0.459619, 1.52331
0.951171, -0.459393, 1.52264
0.950999, -0.459168, 1.52198
0.950826, -0.458944, 1.52132
0.950655, -0.45872, 1.52066
0.950163, -0.458384, 1.51966
0.949673, -0.45805, 1.51867
0.949186, -0.457717, 1.51768
0.948701, -0.457386, 1.51669
0.948218, -0.457056, 1.51571
0.947737, -0.456728, 1.51473
0.947258, -0.456401, 1.51376
0.946782, -0.456075, 1.51278
0.946307, -0.455751, 1.51182
0.945835, -0.455428, 1.51085
0.945365, -0.455107, 1.5099
0.944897, -0.454787, 1.50894
0.944431, -0.454468, 1.50799
0.943967, -0.454151, 1.50704
0.943505, -0.453835, 1.50609
0.943045, -0.453521, 1.50515
0.942587, -0.453207, 1.50422
0.942131, -0.452895, 1.50328
0.941677, -0.452585, 1.50235
0.941225, -0.452276, 1.50143
0.940775, -0.451968, 1.5005
0.940326, -0.451661, 1.49958
0.93988, -0.451355, 1.49867
0.939436, -0.451051, 1.49775
0.938993, -0.450748, 1.49684
0.938552, -0.450447, 1.49594
0.938113, -0.450146, 1.49504
0.937676, -0.449847, 1.49414
0.937241, -0.449549, 1.49324
0.936807, -0.449252, 1.49235
0.936376, -0.448956, 1.49146
0.935946, -0.448662, 1.49057
0.935518, -0.448369, 1.48969
0.935091, -0.448077, 1.48881
0.934667, -0.447786, 1.48793
0.934244, -0.447496, 1.48706
0.933823, -0.447207, 1.48619
0.933403, -0.44692, 1.48532
0.932985, -0.446633, 1.48446
0.932569, -0.446348, 1.4836
0.932155, -0.446064, 1.48274
0.931742, -0.445781, 1.48188
0.93133, -0.445499, 1.48103
0.930921, -0.445218, 1.48018
0.930513, -0.444939, 1.47934
0.930106, -0.44466, 1.4785
0.929702, -0.444382, 1.47766
0.929298, -0.444106, 1.47682
0.928897, -0.44383, 1.47598
0.928497, -0.443556, 1.47515
0.928098, -0.443282, 1.47432
0.927701, -0.44301, 1.4735
0.927306, -0.442738, 1.47268
0.926912, -0.442468, 1.47186
0.926519, -0.442199, 1.47104
0.926128, -0.44193, 1.47022
0.925739, -0.441663, 1.46941
0.925351, -0.441397, 1.4686
0.924964, -0.441131, 1.4678
0.924579, -0.440867, 1.46699
0.924195, -0.440603, 1.46619
0.923813, -0.440341, 1.46539
0.923432, -0.440079, 1.4646
0.923053, -0.439819, 1.46381
0.922675, -0.439559, 1.46302
0.922298, -0.439301, 1.46223
0.921923, -0.439043, 1.46144
0.921549, -0.438786, 1.46066
0.921176, -0.43853, 1.45988
0.920805, -0.438275, 1.4591
0.920435, -0.438021, 1.45833
0.920067, -0.437768, 1.45755
0.9197, -0.437515, 1.45678
0.919334, -0.437264, 1.45602
0.91897, -0.437013, 1.45525
0.918606, -0.436764, 1.45449
0.918244, -0.436515, 1.45373
0.917884, -0.436267, 1.45297
0.917524, -0.43602, 1.45221
0.917166, -0.435774, 1.45146
0.91681, -0.435528, 1.45071
0.916454, -0.435284, 1.44996
0.9161, -0.43504, 1.44922
0.915747, -0.434797, 1.44847
0.915395, -0.434555, 1.44773
0.915044, -0.434314, 1.44699
0.914695, -0.434074, 1.44626
0.914346, -0.433834, 1.44552
0.913999, -0.433596, 1.44479
0.913654, -0.433358, 1.44406
0.913309, -0.43312, 1.44333
0.912965, -0.432884, 1.4426
0.912623, -0.432649, 1.44188
0.912282, -0.432414, 1.44116
0.911942, -0.43218, 1.44044
0.911603, -0.431947, 1.43972
0.911265, -0.431714, 1.43901
0.910929, -0.431482, 1.4383
0.910593, -0.431251, 1.43759
0.910259, -0.431021, 1.43688
0.909926, -0.430792, 1.43617
0.909594, -0.430563, 1.43547
0.909263, -0.430335, 1.43476
0.908933, -0.430108, 1.43406
0.908604, -0.429882, 1.43337
0.908276, -0.429656, 1.43267
0.90795, -0.429431, 1.43198
0.907624, -0.429206, 1.43128
0.907299, -0.428983, 1.43059
0.906976, -0.42876, 1.42991
0.906653, -0.428538, 1.42922
0.906332, -0.428316, 1.42854
0.906012, -0.428096, 1.42785
0.905692, -0.427876, 1.42717
0.905374, -0.427656, 1.4265
0.905057, -0.427438, 1.42582
0.90474, -0.427219, 1.42515
0.904425, -0.427002, 1.42447
0.904111, -0.426786, 1.4238
0.903797, -0.42657, 1.42313
0.903485, -0.426354, 1.42247
0.903174, -0.42614, 1.4218
0.902863, -0.425926, 1.42114
0.902554, -0.425712, 1.42048
0.902245, -0.4255, 1.41982
0.910015, -0.427846, 1.42716
0.91777, -0.430193, 1.43448
0.925508, -0.432539, 1.44177
0.933226, -0.434883, 1.44905
0.940921, -0.437226, 1.45629
0.948591, -0.439565, 1.46351
0.956232, -0.4419, 1.47069
0.963843, -0.44423, 1.47784
0.97142, -0.446554, 1.48495
0.978961, -0.448873, 1.49203
0.986464, -0.451183, 1.49906
0.993926, -0.453487, 1.50605
1.00135, -0.455781, 1.513
1.00872, -0.458066, 1.51991
1.01605, -0.460341, 1.52676
1.02332, -0.462605, 1.53357
1.03055, -0.464859, 1.54033
1.03772, -0.4671, 1.54703
1.04484, -0.469329, 1.55368
1.05191, -0.471544, 1.56028
1.05891, -0.473747, 1.56682
1.06586, -0.475935, 1.57331
1.07275, -0.478109, 1.57973
1.07958, -0.480268, 1.5861
1.08634, -0.482411, 1.59242
1.09305, -0.484539, 1.59867
1.09968, -0.486652, 1.60486
1.10626, -0.488747, 1.61099
1.11277, -0.490827, 1.61706
1.11921, -0.492889, 1.62307
1.12559, -0.494935, 1.62901
1.1319, -0.496963, 1.6349
1.13815, -0.498974, 1.64072
1.14433, -0.500967, 1.64648
1.15044, -0.502943, 1.65218
1.15648, -0.504901, 1.65782
1.16246, -0.506841, 1.66339
1.16837, -0.508763, 1.6689
1.17422, -0.510668, 1.67435
1.18, -0.512554, 1.67975
1.18571, -0.514422, 1.68507
1.19136, -0.516272, 1.69034
1.19694, -0.518104, 1.69555
1.20246, -0.519919, 1.7007
1.20791, -0.521715, 1.70579
1.2133, -0.523494, 1.71082
1.21862, -0.525254, 1.7158
1.22388, -0.526997, 1.72071
1.22908, -0.528723, 1.72557
1.23422, -0.530431, 1.73037
1.23929, -0.532122, 1.73512
1.24431, -0.533796, 1.73981
1.24926, -0.535452, 1.74445
1.25416, -0.537092, 1.74903
1.25899, -0.538715, 1.75356
1.26377, -0.540321, 1.75803
1.2685, -0.54191, 1.76246
1.27316, -0.543484, 1.76683
1.27777, -0.545041, 1.77115
1.28233, -0.546582, 1.77542
1.28683, -0.548107, 1.77964
1.29127, -0.549617, 1.78382
1.29567, -0.551111, 1.78794
1.30001, -0.55259, 1.79202
1.3043, -0.554054, 1.79605
1.30854, -0.555503, 1.80004
1.31273, -0.556937, 1.80398
1.31687, -0.558356, 1.80787
1.32096, -0.559761, 1.81172
1.32501, -0.561152, 1.81553
1.329, -0.562529, 1.8193
1.33295, -0.563892, 1.82302
1.33686, -0.565241, 1.8267
1.34072, -0.566577, 1.83034
1.34454, -0.5679, 1.83394
1.34831, -0.569209, 1.8375
1.35204, -0.570505, 1.84103
1.35573, -0.571789, 1.84451
1.35937, -0.57306, 1.84796
1.36298, -0.574319, 1.85137
1.36654, -0.575565, 1.85474
1.37007, -0.576799, 1.85807
1.37355, -0.578022, 1.86138
1.377, -0.579232, 1.86464
1.38041, -0.580431, 1.86787
1.38379, -0.581619, 1.87107
1.38712, -0.582795, 1.87424
1.39042, -0.58396, 1.87737
1.39369, -0.585115, 1.88047
1.39692, -0.586258, 1.88354
1.40012, -0.587391, 1.88658
1.40328, -0.588513, 1.88958
1.40641, -0.589625, 1.89256
1.4095, -0.590727, 1.89551
1.41257, -0.591819, 1.89842
1.4156, -0.592901, 1.90131
1.4186, -0.593973, 1.90417
1.42157, -0.595036, 1.907
1.42451, -0.596089, 1.90981
1.42742, -0.597132, 1.91259
1.4303, -0.598167, 1.91534
1.43316, -0.599192, 1.91806
1.43598, -0.600208, 1.92076
1.43878, -0.601216, 1.92343
1.44155, -0.602215, 1.92608
1.44429, -0.603205, 1.92871
1.447, -0.604187, 1.93131
1.44969, -0.60516, 1.93388
1.45235, -0.606125, 1.93643
1.45499, -0.607083, 1.93896
1.4576, -0.608032, 1.94147
1.46019, -0.608973, 1.94395
1.46275, -0.609906, 1.94641
1.46529, -0.610832, 1.94885
1.46781, -0.61175, 1.95127
1.4703, -0.612661, 1.95367
1.47277, -0.613564, 1.95604
1.47522, -0.61446, 1.9584
1.47764, -0.615349, 1.96073
1.48005, -0.616231, 1.96304
1.48243, -0.617105, 1.96534
1.48479, -0.617973, 1.96761
1.48713, -0.618835, 1.96987
1.48945, -0.619689, 1.97211
1.49175, -0.620537, 1.97433
1.49402, -0.621378, 1.97653
1.49628, -0.622213, 1.97871
1.49852, -0.623042, 1.98087
1.50074, -0.623864, 1.98302
1.50294, -0.62468, 1.98515
1.50512, -0.62549, 1.98726
1.50729, -0.626294, 1.98936
1.50943, -0.627092, 1.99143
1.51156, -0.627884, 1.9935
1.51367, -0.62867, 1.99554
1.51577, -0.629451, 1.99757
1.51784, -0.630226, 1.99959
1.5199, -0.630995, 2.00159
1.52194, -0.631759, 2.00357
1.52397, -0.632517, 2.00554
1.52598, -0.63327, 2.00749
1.52797, -0.634018, 2.00943
1.52995, -0.634761, 2.01135
1.53191, -0.635498, 2.01326
1.53386, -0.63623, 2.01516
1.53579, -0.636957, 2.01704
1.53771, -0.637679, 2.01891
1.53961, -0.638397, 2.02076
1.54149, -0.639109, 2.0226
1.54337, -0.639817, 2.02443
1.54523, -0.64052, 2.02624
1.54707, -0.641218, 2.02805
1.5489, -0.641911, 2.02983
1.55072, -0.6426, 2.03161
1.55252, -0.643285, 2.03337
1.55431, -0.643965, 2.03513
1.55609, -0.64464, 2.03686
1.55785, -0.645311, 2.03859
1.5596, -0.645978, 2.04031
1.56134, -0.646641, 2.04201
1.56307, -0.647299, 2.0437
1.56478, -0.647953, 2.04538
1.56649, -0.648603, 2.04705
1.56817, -0.649249, 2.04871
1.56985, -0.649891, 2.05036
1.57152, -0.650529, 2.05199
1.57317, -0.651163, 2.05362
1.57482, -0.651794, 2.05523
1.57645, -0.65242, 2.05684
1.57807, -0.653042, 2.05843
1.57968, -0.653661, 2.06002
1.58128, -0.654276, 2.06159
1.58286, -0.654888, 2.06315
1.58444, -0.655495, 2.06471
1.58601, -0.656099, 2.06625
1.58756, -0.6567, 2.06778
1.58911, -0.657297, 2.06931
1.59064, -0.65789, 2.07082
1.59217, -0.658481, 2.07233
1.59368, -0.659067, 2.07382
1.59519, -0.65965, 2.07531
1.59668, -0.66023, 2.07679
1.59817, -0.660807, 2.07826
1.59965, -0.66138, 2.07972
1.60111, -0.661951, 2.08117
1.60257, -0.662518, 2.08261
1.60402, -0.663081, 2.08405
1.60546, -0.663642, 2.08547
1.60689, -0.664199, 2.08689
1.60831, -0.664754, 2.0883
1.60973, -0.665305, 2.0897
1.61113, -0.665854, 2.09109
1.61253, -0.666399, 2.09248
1.61391, -0.666942, 2.09386
1.61529, -0.667481, 2.09523
1.61666, -0.668018, 2.09659
1.61803, -0.668552, 2.09794
1.61938, -0.669083, 2.09929
1.62073, -0.669611, 2.10062
1.62206, -0.670136, 2.10196
1.62339, -0.670659, 2.10328
1.62472, -0.671179, 2.1046
1.62603, -0.671696, 2.1059
1.62734, -0.672211, 2.10721
1.62864, -0.672722, 2.1085
1.62993, -0.673232, 2.10979
1.63121, -0.673738, 2.11107
1.63249, -0.674242, 2.11234
1.63376, -0.674744, 2.11361
1.63502, -0.675243, 2.11487
1.63628, -0.67574, 2.11612
1.63753, -0.676234, 2.11737
1.63877, -0.676725, 2.11861
1.64, -0.677215, 2.11985
1.64123, -0.677701, 2.12107
1.64245, -0.678186, 2.12229
1.64366, -0.678668, 2.12351
1.64487, -0.679147, 2.12472
1.64607, -0.679625, 2.12592
1.64727, -0.6801, 2.12712
1.64845, -0.680573, 2.12831
1.64964, -0.681043, 2.12949
1.65081, -0.681512, 2.13067
1.65198, -0.681978, 2.13184
1.65314, -0.682442, 2.13301
1.6543, -0.682903, 2.13417
1.65545, -0.683363, 2.13532
1.6566, -0.68382, 2.13647
1.65773, -0.684276, 2.13762
1.65887, -0.684729, 2.13875
1.65999, -0.68518, 2.13989
1.66111, -0.685629, 2.14101
1.66223, -0.686076, 2.14214
1.66334, -0.686521, 2.14325
1.66444, -0.686964, 2.14436
1.66554, -0.687405, 2.14547
1.66663, -0.687844, 2.14657
1.66772, -0.688281, 2.14766
1.6688, -0.688716, 2.14875
1.66988, -0.689149, 2.14984
1.67095, -0.689581, 2.15092
1.67202, -0.69001, 2.15199
1.67308, -0.690437, 2.15306
1.67413, -0.690863, 2.15413
1.67518, -0.691287, 2.15519
1.67623, -0.691709, 2.15624
1.67727, -0.692129, 2.15729
1.6783, -0.692547, 2.15834
1.67933, -0.692964, 2.15938
1.68035, -0.693379, 2.16042
1.68137, -0.693792, 2.16145
1.68239, -0.694203, 2.16248
1.6834, -0.694612, 2.1635
1.68441, -0.69502, 2.16452
1.68541, -0.695426, 2.16553
1.6864, -0.695831, 2.16654
1.68739, -0.696233, 2.16754
1.68838, -0.696634, 2.16854
1.68936, -0.697034, 2.16954
1.69034, -0.697432, 2.17053
1.69131, -0.697828, 2.17152
1.69228, -0.698222, 2.1725
1.69325, -0.698615, 2.17348
1.69421, -0.699007, 2.17446
