theta_hid_log[2], theta_out_log[1]
0.608359, -0.286343, 1.24583
0.608448, -0.286493, 1.24778
0.608537, -0.286643, 1.24971
0.608624, -0.286793, 1.25164
0.608711, -0.286942, 1.25356
0.608797, -0.28709, 1.25547
0.608882, -0.287239, 1.25738
0.608967, -0.287387, 1.25928
0.60905, -0.287535, 1.26117
0.609133, -0.287682, 1.26306
0.609215, -0.287829, 1.26494
0.609296, -0.287976, 1.26681
0.609376, -0.288123, 1.26868
0.609456, -0.288269, 1.27054
0.609535, -0.288415, 1.27239
0.609613, -0.288561, 1.27424
0.60969, -0.288706, 1.27608
0.609767, -0.288851, 1.27792
0.609843, -0.288995, 1.27974
0.609918, -0.28914, 1.28156
0.609992, -0.289284, 1.28338
0.610066, -0.289428, 1.28519
0.610139, -0.289571, 1.28699
0.610211, -0.289714, 1.28879
0.610283, -0.289857, 1.29058
0.610354, -0.29, 1.29236
0.610424, -0.290142, 1.29414
0.610494, -0.290284, 1.29591
0.610562, -0.290425, 1.29767
0.610631, -0.290567, 1.29943
0.610698, -0.290708, 1.30119
0.610765, -0.290848, 1.30294
0.610832, -0.290989, 1.30468
0.610897, -0.291129, 1.30641
0.610962, -0.291269, 1.30814
0.611027, -0.291409, 1.30987
0.61109, -0.291548, 1.31159
0.611153, -0.291687, 1.3133
0.611216, -0.291826, 1.31501
0.611278, -0.291964, 1.31671
0.611339, -0.292102, 1.3184
0.6114, -0.29224, 1.32009
0.61146, -0.292378, 1.32178
0.61152, -0.292515, 1.32346
0.611578, -0.292652, 1.32513
0.611637, -0.292789, 1.3268
0.611695, -0.292925, 1.32846
0.611752, -0.293061, 1.33012
0.611808, -0.293197, 1.33177
0.611865, -0.293333, 1.33342
0.61192, -0.293468, 1.33506
0.611975, -0.293603, 1.3367
0.61203, -0.293738, 1.33833
0.612083, -0.293873, 1.33995
0.612137, -0.294007, 1.34157
0.61219, -0.294141, 1.34319
0.612242, -0.294275, 1.3448
0.612294, -0.294408, 1.3464
0.612345, -0.294541, 1.348
0.612396, -0.294674, 1.3496
0.612446, -0.294807, 1.35119
0.612496, -0.294939, 1.35277
0.612545, -0.295072, 1.35435
0.612594, -0.295204, 1.35593
0.612642, -0.295335, 1.3575
0.61269, -0.295467, 1.35906
0.612737, -0.295598, 1.36062
0.612784, -0.295728, 1.36218
0.61283, -0.295859, 1.36373
0.612876, -0.295989, 1.36528
0.612921, -0.296119, 1.36682
0.612966, -0.296249, 1.36835
0.61301, -0.296379, 1.36989
0.613054, -0.296508, 1.37141
0.613098, -0.296637, 1.37293
0.613141, -0.296766, 1.37445
0.613184, -0.296895, 1.37597
0.613226, -0.297023, 1.37747
0.613267, -0.297151, 1.37898
0.613309, -0.297279, 1.38048
0.61335, -0.297406, 1.38197
0.61339, -0.297534, 1.38346
0.61343, -0.297661, 1.38495
0.61347, -0.297788, 1.38643
0.613509, -0.297914, 1.38791
0.613547, -0.298041, 1.38938
0.613586, -0.298167, 1.39085
0.613624, -0.298293, 1.39231
0.613661, -0.298418, 1.39377
0.613698, -0.298544, 1.39523
0.613735, -0.298669, 1.39668
0.613771, -0.298794, 1.39813
0.613807, -0.298919, 1.39957
0.613843, -0.299043, 1.40101
0.613878, -0.299167, 1.40244
0.613913, -0.299291, 1.40387
0.613947, -0.299415, 1.4053
0.613981, -0.299539, 1.40672
0.614014, -0.299662, 1.40814
0.614048, -0.299785, 1.40955
0.61408, -0.299908, 1.41096
0.614113, -0.30003, 1.41237
0.614145, -0.300153, 1.41377
0.614177, -0.300275, 1.41517
0.614208, -0.300397, 1.41656
0.614239, -0.300519, 1.41795
0.61427, -0.30064, 1.41934
0.6143, -0.300761, 1.42072
0.61433, -0.300882, 1.4221
0.61436, -0.301003, 1.42347
0.614389, -0.301124, 1.42484
0.614418, -0.301244, 1.42621
0.614447, -0.301364, 1.42757
0.614475, -0.301484, 1.42893
0.614503, -0.301604, 1.43028
0.614531, -0.301723, 1.43163
0.614558, -0.301843, 1.43298
0.614585, -0.301962, 1.43432
0.614611, -0.302081, 1.43566
0.614638, -0.302199, 1.437
0.614664, -0.302318, 1.43833
0.614689, -0.302436, 1.43966
0.614715, -0.302554, 1.44099
0.61474, -0.302672, 1.44231
0.614765, -0.302789, 1.44363
0.614789, -0.302907, 1.44494
0.614813, -0.303024, 1.44625
0.614837, -0.303141, 1.44756
0.61486, -0.303257, 1.44886
0.614884, -0.303374, 1.45017
0.614907, -0.30349, 1.45146
0.614929, -0.303606, 1.45276
0.614952, -0.303722, 1.45405
0.614974, -0.303838, 1.45533
0.614995, -0.303953, 1.45661
0.615017, -0.304069, 1.45789
0.615038, -0.304184, 1.45917
0.615059, -0.304299, 1.46044
0.61508, -0.304413, 1.46171
0.6151, -0.304528, 1.46298
0.61512, -0.304642, 1.46424
0.61514, -0.304756, 1.4655
0.615159, -0.30487, 1.46676
0.615179, -0.304984, 1.46801
0.615198, -0.305097, 1.46926
0.615216, -0.305211, 1.47051
0.615235, -0.305324, 1.47175
0.615253, -0.305437, 1.47299
0.615271, -0.305549, 1.47423
0.615289, -0.305662, 1.47546
0.615306, -0.305774, 1.47669
0.615324, -0.305886, 1.47792
0.61534, -0.305998, 1.47914
0.615357, -0.30611, 1.48036
0.615374, -0.306222, 1.48158
0.61539, -0.306333, 1.48279
0.615406, -0.306444, 1.48401
0.615421, -0.306555, 1.48521
0.615437, -0.306666, 1.48642
0.615452, -0.306777, 1.48762
0.615467, -0.306887, 1.48882
0.615482, -0.306997, 1.49002
0.615496, -0.307107, 1.49121
0.615511, -0.307217, 1.4924
0.615525, -0.307327, 1.49359
0.615539, -0.307437, 1.49477
0.615552, -0.307546, 1.49595
0.615566, -0.307655, 1.49713
0.615579, -0.307764, 1.49831
0.615592, -0.307873, 1.49948
0.615604, -0.307981, 1.50065
0.615617, -0.30809, 1.50182
0.615629, -0.308198, 1.50298
0.615641, -0.308306, 1.50414
0.615653, -0.308414, 1.5053
0.615665, -0.308522, 1.50645
0.615676, -0.308629, 1.50761
0.615687, -0.308737, 1.50876
0.615698, -0.308844, 1.5099
0.615709, -0.308951, 1.51105
0.615719, -0.309058, 1.51219
0.61573, -0.309164, 1.51333
0.61574, -0.309271, 1.51446
0.61575, -0.309377, 1.5156
0.61576, -0.309483, 1.51673
0.615769, -0.309589, 1.51785
0.615779, -0.309695, 1.51898
0.615788, -0.3098, 1.5201
0.615797, -0.309906, 1.52122
0.615806, -0.310011, 1.52234
0.615814, -0.310116, 1.52345
0.615822, -0.310221, 1.52456
0.615831, -0.310326, 1.52567
0.615839, -0.310431, 1.52678
0.615846, -0.310535, 1.52788
0.615854, -0.310639, 1.52898
0.615862, -0.310743, 1.53008
0.615869, -0.310847, 1.53117
0.615876, -0.310951, 1.53227
0.615883, -0.311055, 1.53336
0.61589, -0.311158, 1.53445
0.615896, -0.311261, 1.53553
0.615902, -0.311365, 1.53662
0.615909, -0.311467, 1.5377
0.615915, -0.31157, 1.53877
0.61592, -0.311673, 1.53985
0.615926, -0.311775, 1.54092
0.615932, -0.311878, 1.54199
0.615937, -0.31198, 1.54306
0.615942, -0.312082, 1.54413
0.615947, -0.312184, 1.54519
0.615952, -0.312285, 1.54625
0.615956, -0.312387, 1.54731
0.615961, -0.312488, 1.54836
0.615965, -0.312589, 1.54942
0.615969, -0.31269, 1.55047
0.615973, -0.312791, 1.55152
0.615977, -0.312892, 1.55256
0.615981, -0.312993, 1.55361
0.615984, -0.313093, 1.55465
0.615988, -0.313193, 1.55569
0.615991, -0.313293, 1.55673
0.615994, -0.313393, 1.55776
0.615997, -0.313493, 1.55879
0.616, -0.313593, 1.55982
0.616002, -0.313692, 1.56085
0.616005, -0.313792, 1.56188
0.616007, -0.313891, 1.5629
0.616009, -0.31399, 1.56392
0.616011, -0.314089, 1.56494
0.616013, -0.314187, 1.56595
0.616015, -0.314286, 1.56697
0.616016, -0.314384, 1.56798
0.616018, -0.314483, 1.56899
0.616019, -0.314581, 1.57
0.61602, -0.314679, 1.571
0.616021, -0.314777, 1.572
0.616022, -0.314874, 1.57301
0.616022, -0.314972, 1.574
0.616023, -0.315069, 1.575
0.616023, -0.315167, 1.57599
0.616024, -0.315264, 1.57699
0.616024, -0.315361, 1.57798
0.616024, -0.315458, 1.57896
0.616024, -0.315554, 1.57995
0.616023, -0.315651, 1.58093
0.616023, -0.315747, 1.58192
0.616022, -0.315843, 1.58289
0.616022, -0.31594, 1.58387
0.616021, -0.316036, 1.58485
0.61602, -0.316131, 1.58582
0.616019, -0.316227, 1.58679
0.616018, -0.316323, 1.58776
0.616017, -0.316418, 1.58873
0.616015, -0.316513, 1.58969
0.616014, -0.316608, 1.59065
0.616012, -0.316703, 1.59161
0.61601, -0.316798, 1.59257
0.616008, -0.316893, 1.59353
0.616006, -0.316988, 1.59448
0.616004, -0.317082, 1.59544
0.616002, -0.317176, 1.59639
0.615999, -0.317271, 1.59734
0.615997, -0.317365, 1.59828
0.615994, -0.317458, 1.59923
0.615991, -0.317552, 1.60017
0.615988, -0.317646, 1.60111
0.615985, -0.317739, 1.60205
0.615982, -0.317833, 1.60299
0.615979, -0.317926, 1.60392
0.615976, -0.318019, 1.60485
0.615972, -0.318112, 1.60579
0.615969, -0.318205, 1.60672
0.615965, -0.318298, 1.60764
0.615961, -0.31839, 1.60857
0.615957, -0.318483, 1.60949
0.615953, -0.318575, 1.61041
0.615949, -0.318667, 1.61133
0.615945, -0.318759, 1.61225
0.615941, -0.318851, 1.61317
0.615936, -0.318943, 1.61408
